Longitude,Latitude,ScientificName,SiteVisitID,StartDate,EndDate,SiteID,SiteCode,LocalityDetails,LocationPrecision,ProjectID,ProjectName,OrganisationID,OrganisationName,OrganisationAcronym
152.6859691,-26.48422565,Phascolarctos cinereus,2125281,30/8/2022,30/8/2022,1830202,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.7833271,-26.09667926,Phascolarctos cinereus,2125373,26/10/2022,26/10/2022,1830341,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6837541,-26.41628071,Phascolarctos cinereus,2125374,4/11/2022,4/11/2022,1830342,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.2486458,-26.07462224,Phascolarctos cinereus,2125394,16/12/2022,16/12/2022,1830362,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6328958,-26.07856661,Phascolarctos cinereus,2125416,15/9/2022,15/9/2022,1830383,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6492128,-26.0889556,Phascolarctos cinereus,2125420,8/9/2022,8/9/2022,1830387,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6545038,-26.0939836,Phascolarctos cinereus,2125421,30/8/2022,30/8/2022,1830388,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6415348,-26.07051061,Phascolarctos cinereus,2125423,24/8/2022,24/8/2022,1830390,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6607088,-26.1215166,Phascolarctos cinereus,2125425,25/8/2022,25/8/2022,1830392,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6215848,-26.10410961,Phascolarctos cinereus,2125426,9/6/2022,9/6/2022,1830393,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6628728,-26.1166096,Phascolarctos cinereus,2125427,25/8/2022,25/8/2022,1830394,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6607758,-26.1196686,Phascolarctos cinereus,2125428,31/3/2022,31/3/2022,1830395,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6575988,-26.1038296,Phascolarctos cinereus,2125429,24/8/2022,24/8/2022,1830396,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7122818,-26.2516726,Phascolarctos cinereus,2125435,4/4/2022,4/4/2022,1830402,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7090538,-26.2136826,Phascolarctos cinereus,2125438,15/3/2022,15/3/2022,1830405,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.7141138,-26.2471026,Phascolarctos cinereus,2125440,19/1/2022,19/1/2022,1830407,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7042238,-26.2169726,Phascolarctos cinereus,2125442,14/3/2022,14/3/2022,1830409,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.8609772,-26.1326561,Phascolarctos cinereus,2097361,1/1/2022,1/1/2022,1811279,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6632538,-26.4499321,Phascolarctos cinereus,2097362,6/1/2022,6/1/2022,1811280,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.7846527,-26.04458237,Phascolarctos cinereus,2097363,19/1/2022,19/1/2022,1811281,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.6577454,-26.23644638,Phascolarctos cinereus,2097364,8/1/2022,8/1/2022,1811282,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.7100983,-26.39864349,Phascolarctos cinereus,2097365,22/1/2022,22/1/2022,1811283,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6882019,-26.38799095,Phascolarctos cinereus,2097367,24/1/2022,24/1/2022,1811285,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7815857,-26.06201363,Phascolarctos cinereus,2097370,11/2/2022,11/2/2022,1811288,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.741806,-26.28934479,Phascolarctos cinereus,2097371,12/2/2022,12/2/2022,1811289,INCIDENTAL,Not recorded,40,17619,Koalas,2621,Gympie Regional Council,GRC
152.6513825,-26.19742012,Phascolarctos cinereus,2097372,12/2/2022,12/2/2022,1811290,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6543121,-26.23870468,Phascolarctos cinereus,2097374,13/2/2022,13/2/2022,1811292,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7775726,-26.32481575,Phascolarctos cinereus,2097375,15/2/2022,15/2/2022,1811293,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.8096619,-26.10597038,Phascolarctos cinereus,2097376,7/3/2022,7/3/2022,1811294,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.7802734,-26.09290886,Phascolarctos cinereus,2097377,18/3/2022,18/3/2022,1811295,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7373352,-26.28996086,Phascolarctos cinereus,2097378,16/3/2022,16/3/2022,1811296,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6805725,-26.38694382,Phascolarctos cinereus,2097379,10/3/2022,10/3/2022,1811297,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.7411346,-26.29015541,Phascolarctos cinereus,2097380,14/3/2022,14/3/2022,1811298,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6697083,-26.39631081,Phascolarctos cinereus,2097381,13/3/2022,13/3/2022,1811299,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.8009338,-26.12376213,Phascolarctos cinereus,2097382,7/2/2022,7/2/2022,1811300,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.6508026,-26.40060043,Phascolarctos cinereus,2097349,5/4/2022,5/4/2022,1811302,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.7910919,-26.07216263,Phascolarctos cinereus,2097351,16/4/2022,16/4/2022,1811304,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8442383,-26.14520073,Phascolarctos cinereus,2097353,16/4/2022,16/4/2022,1811306,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6497192,-26.4010334,Phascolarctos cinereus,2097354,19/4/2022,19/4/2022,1811307,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
151.9722138,-26.16389847,Phascolarctos cinereus,2097355,23/4/2022,23/4/2022,1811308,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.888443,-26.17128944,Phascolarctos cinereus,2097384,28/4/2022,28/4/2022,1811309,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6717835,-26.28803825,Phascolarctos cinereus,2097385,21/4/2022,21/4/2022,1811310,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6438141,-26.22278023,Phascolarctos cinereus,2097387,28/4/2022,28/4/2022,1811312,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6863709,-26.47729111,Phascolarctos cinereus,2097389,14/5/2022,14/5/2022,1811314,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8049164,-26.02085304,Phascolarctos cinereus,2097390,18/5/2022,18/5/2022,1811315,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8031464,-26.07375908,Phascolarctos cinereus,2097391,19/5/2022,19/5/2022,1811316,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6799927,-26.38695908,Phascolarctos cinereus,2097392,21/5/2022,21/5/2022,1811317,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6904144,-26.38255119,Phascolarctos cinereus,2097393,21/5/2022,21/5/2022,1811318,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7018585,-26.36994362,Phascolarctos cinereus,2097394,11/5/2022,11/5/2022,1811319,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8701019,-26.14763069,Phascolarctos cinereus,2097395,23/5/2022,23/5/2022,1811320,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6655273,-26.3956089,Phascolarctos cinereus,2097396,27/5/2022,27/5/2022,1811321,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8004303,-26.05751991,Phascolarctos cinereus,2097397,11/5/2022,11/5/2022,1811322,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.8006592,-26.06030464,Phascolarctos cinereus,2097398,11/5/2022,11/5/2022,1811323,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6447754,-26.28502464,Phascolarctos cinereus,2097399,15/6/2022,15/6/2022,1811324,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
